,TI,AB,DI,PY,tcmRelated,gcgRelated,ngrRelated,nwRelated,reviewer,2ndReviewer,agree,include
122,A Bayesian approach for predicting risk of autonomous underwater vehicle loss during their missions,"Autonomous Underwater Vehicles (AUVs) are effective platforms for science research and monitoring, and for military and commercial data-gathering purposes. However, there is an inevitable risk of loss during any mission. Quantifying the risk of loss is complex, due to the combination of vehicle reliability and environmental factors, and cannot be determined through analytical means alone. An alternative approach - formal expert judgment - is a time-consuming process; consequently a method is needed to broaden the applicability of judgments beyond the narrow confines of an elicitation for a defined environment. We propose and explore a solution founded on a Bayesian Belief Network (BBN), where the results of the expert judgment elicitation are taken as the initial prior probability of loss due to failure. The network topology captures the causal effects of the environment separately on the vehicle and on the support platform, and combines these to produce an updated probability of loss due to failure. An extended version of the Kaplan-Meier estimator is then used to update the mission risk profile with travelled distance. Sensitivity analysis of the BBN is presented and a case study of Autosub3 AUV deployment in the Amundsen Sea is discussed in detail. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.ress.2015.10.004,2016,1,0.0,1.0,0.0,ngr,1.0,1,1
123,Automated Box-Jenkins forecasting tool with an application for passenger demand in urban rail systems,"Efficient management of public transportation systems is one of the most important requirements in rapidly urbanizing world. Forecasting the demand for transportation is critical in planning and scheduling efficient operations by transportation systems managers. In this paper, a time series forecasting framework based on Box-Jenkins method is developed for public transportation systems. We present a framework that is comprehensive, automated, accurate, and fast. Moreover, it is applicable to any time series forecasting problem regardless of the application sector. It substitutes the human judgment with a combination of statistical tests, simplifies the time-consuming model selection part with enumeration, and it applies a number of comprehensive tests to select an accurate model. We implemented all steps of the proposed framework in MATLAB as a comprehensive forecasting tool. We tested our model on real passenger traffic data from Istanbul Metro. The numerical tests show the proposed framework is very effective and gives higher accuracy than the other models that have been used in many studies in the literature. Copyright (C) 2015 John Wiley & Sons, Ltd.",10.1002/atr.1332,2016,0,0.0,0.0,0.0,nw,0.0,1,0
124,Fuzzy Inference-Enhanced VC-DRSA Model for Technical Analysis: Investment Decision Aid,"To support investment decision based on technical analysis (TA), this study aims to retrieve the knowledge or rules of various indicators by a hybrid soft computing model. Although the validity of TA has been examined extensively by various statistical methods in literature, previous studies mainly explored the effectiveness of each technical indicator separately; therefore, a practical approach that may consider the inconsistency of various technical indicators simultaneously and the down-side risk of an investment decision is still underexplored. Thus, a hybrid model-by constructing a variable consistency dominance-based rough set approach (VC-DRSA) information system with the fuzzy inference-enhanced discretization of signals-is proposed, to retrieve the imprecise patterns from commonly adopted technical indicators. At the first stage, the trading signals (i.e., buy, neutral, or sell) are preprocessed in two groups: straight-forward signals and complicated signals. The straight-forward technical indicators (i.e., for signals that are decided by precise rules) are suggested by domain experts, and the buy-in signals are simulated by several trading strategies to examine the outcomes of each indicator. As for those complicated signals (i.e., for signals that require imprecise judgments with perceived feeling of domain experts to identify patterns), a fuzzy inference technique is incorporated to enhance the discretization of signals; those signals are also simulated by the aforementioned trading strategies to obtain the corresponding results. At the second stage, the trading signals generated by each technical indicator and their pertinent results from the previous stage are combined for VC-DRSA modeling to gain decision rules. To illustrate the proposed model, the weighted average index of the Taiwan stock market was examined from mid/2002 to mid/2014, and a set of decision rules with nearly 80 % classification accuracy (both in the training and the testing sets) were obtained in this empirical case. The findings suggest that several technical indicators should be considered simultaneously, and the retrieved rules (knowledge) have practical implications for investors.",10.1007/s40815-015-0058-8,2015,0,0.0,0.0,1.0,nw,1.0,0,0
125,COMPARISON OF DECISION-ASSIST AND CLINICAL JUDGMENT OF EXPERTS FOR PREDICTION OF LIFESAVING INTERVENTIONS,"Early recognition of hemorrhage during the initial resuscitation of injured patients is associated with improved survival in both civilian and military casualties. We tested a transfusion and lifesaving intervention (LSI) prediction algorithm in comparison with clinical judgment of expert trauma care providers. We collected 15 min of pulse oximeter photopletysmograph waveforms and extracted features to predict LSIs. We compared this with clinical judgment of LSIs by individual categories of prehospital providers, nurses, and physicians and a combined judgment of all three providers using the Area Under Receiver Operating Curve (AUROC). We obtained clinical judgment of need for LSI from 405 expert clinicians in135 trauma patients. The pulse oximeter algorithm predicted transfusion within 6 h (AUROC, 0.92; P < 0.003) more accurately than either physicians or prehospital providers and as accurately as nurses (AUROC, 0.76; P = 0.07). For prediction of surgical procedures, the algorithm was as accurate as the three categories of clinicians. For prediction of fluid bolus, the diagnostic algorithm (AUROC, 0.9) was significantly more accurate than prehospital providers (AUROC, 0.62; P = 0.02) and nurses (AUROC, 0.57; P = 0.04) and as accurate as physicians (AUROC, 0.71; P = 0.06). Prediction of intubation by the algorithm (AUROC, 0.92) was as accurate as each of the three categories of clinicians. The algorithm was more accurate (P < 0.03) for blood and fluid prediction than the combined clinical judgment of all three providers but no different from the clinicians in the prediction of surgery (P = 0.7) or intubation (P = 0.8). Automated analysis of 15 min of pulse oximeter waveforms predicts the need for LSIs during initial trauma resuscitation as accurately as judgment of expert trauma clinicians. For prediction of emergency transfusion and fluid bolus, pulse oximetry features were more accurate than these experts. Such automated decision support could assist resuscitation decisions, trauma team, and operating room and blood bank preparations.",10.1097/SHK.0000000000000288,2015,0,0.0,0.0,0.0,gcg,0.0,1,0
126,On the relative importance of linear model and human judge(s) in combined forecasting,"When and to what extent should forecasts rely on linear model or human judgment? The judgmental forecasting literature suggests that aggregating model and judge using a simple 50:50 split tends to outperform the two inputs alone. However, current research disregards the important role that the structure of the task, judges' level of expertise, and the number of individuals providing a forecasting judgment may play. Ninety-two music industry professionals and 88 postgraduate students were recruited in a field experiment to predict chart entry positions of pop music singles in the UK and Germany. The results of a lens model analysis show how task structure and domain-specific expertise moderate the relative importance of model and judge. The study also delineates an upper boundary to which aggregating multiple judgments in model-expert combinations adds predictive accuracy. It is suggested that ignoring the characteristics of task and/or judge may lead to suboptimal forecasting performance. (C)12 Elsevier Inc. All rights reserved.",10.1016/j.obhdp.2012.08.003,2013,1,0.0,0.0,1.0,nw,1.0,1,1
127,Preliminary Strategic Environmental Assessment of the Great Western Development Strategy: Safeguarding Ecological Security for a New Western China,"The Great Western Development Strategy (GWDS) is a long term national campaign aimed at boosting development of the western area of China and narrowing the economic gap between the western and the eastern parts of China. The Strategic Environmental Assessment (SEA) procedure was employed to assess the environmental challenges brought about by the western development plans. These plans include five key developmental domains (KDDs): water resource exploitation and use, land utilization, energy generation, tourism development, and ecological restoration and conservation. A combination of methods involving matrix assessment, incorporation of expert judgment and trend analysis was employed to analyze and predict the environmental impacts upon eight selected environmental indicators: water resource availability, soil erosion, soil salinization, forest destruction, land desertification, biological diversity, water quality and air quality. Based on the overall results of the assessment, countermeasures for environmental challenges that emerged were raised as key recommendations to ensure ecological security during the implementation of the GWDS. This paper is intended to introduce a consensus-based process for evaluating the complex, long term pressures on the ecological security of large areas, such as western China, that focuses on the use of combined methods applied at the strategic level.",10.1007/s00267-011-9794-1,2012,0,0.0,0.0,1.0,nw,1.0,0,0
128,Support planning and controlling of early quality assurance by combining expert judgment and defect data-a case study,"Planning quality assurance (QA) activities in a systematic way and controlling their execution are challenging tasks for companies that develop software or software-intensive systems. Both require estimation capabilities regarding the effectiveness of the applied QA techniques and the defect content of the checked artifacts. Existing approaches for these purposes need extensive measurement data from historical projects. Due to the fact that many companies do not collect enough data for applying these approaches (especially for the early project lifecycle), they typically base their QA planning and controlling solely on expert opinion. This article presents a hybrid method combining commonly available measurement data and context-specific expert knowledge. To evaluate the method's applicability and usefulness, we conducted a case study in the context of independent verification and validation activities for critical software in the space domain. A hybrid defect content and effectiveness model was developed for the software requirements analysis phase and evaluated with available legacy data. One major result is that the hybrid model provides improved estimation accuracy when compared to applicable models based solely on data. The mean magnitude of relative error (MMRE) determined by cross-validation is 29.6% compared to 76.5% obtained by the most accurate data-based model.",10.1007/s10664-009-9112-1,2010,1,0.0,0.0,1.0,nw,1.0,1,1
129,Probabilistic Inversion in Priority Setting of Emerging Zoonoses,"This article presents methodology of applying probabilistic inversion in combination with expert judgment in priority setting problem. Experts rank scenarios according to severity. A linear multi-criteria analysis model underlying the expert preferences is posited. Using probabilistic inversion, a distribution over attribute weights is found that optimally reproduces the expert rankings. This model is validated in three ways. First, consistency of expert rankings is checked, second, a complete model fitted using all expert data is found to adequately reproduce observed expert rankings, and third, the model is fitted to subsets of the expert data and used to predict rankings in out-of-sample expert data.",10.1111/j.1539-6924.2010.01378.x,2010,1,0.0,0.0,0.0,gcg,0.0,0,0
130,Assessing source material difficulty for consecutive interpreting Quantifiable measures and holistic judgment,"Motivated by the need for better control of standards of a certification examination for interpreters in Taiwan, this exploratory study aimed at identifying indicators that may be used to predict source material difficulty for consecutive interpreting. A combination of quantifiable measures - readability level, information density and new concept density - was used to examine different aspects of three English source materials. Expert judgment was also used as a more holistic method of judging source material difficulty. The results of these analyses were compared with two groups of student interpreters' performance on consecutive interpreting of the source materials into Mandarin Chinese. The participants' assessment of speech difficulty after the interpreting task was also compared with the other measures and the expert judgment. The quantifiable measures all failed statistically in predicting source material difficulty, possibly due to the very small sample size of the materials or to the fact that the materials were very similar in the aspects assessed by these measures. A trend emerged to suggest that information density and sentence length may be potentially useful indicators for predicting source material difficulty. It was also shown that source material difficulty affected the performance of lower-skilled interpreters more than that of higher-skilled interpreters.",10.1075/intp.11.2.07liu,2009,0,0.0,0.0,0.0,nw,0.0,1,0
131,Computer simulations of the Rescorla-Wagner and Pearce-Hall models in conditioning and contingency judgment,"A Visual BASIC program, running under Windows 3.1, simulated the predictions of the Rescorla-Wagner (Rescorla & Wagner, 1972) and the Pearce-Hall (Pearce & Hall, 1980) models and compared them to the normative contingency coefficient Delta P (Jenkins & Ward, 1965). The simulations can be applied to a variety of phenomena in human contingency judgment as well as leaning and conditioning. Possible simulations include acquisition and extinction of excitatory and inhibitory conditioning, latent inhibition, blocking and overshadowing, or any other associative learning involving two single predictors, their compound, a contextual stimulus, and an outcome. The Pearce-Hall model has never been computerized before. In addition, unique features of this software include extensive use of the graphic user interface, context-sensitive help, verification of trial combinations, toggling of the contextual stimulus from ever-present to mutually exclusive with the discrete predictors, data entry via contingency tables or specifications trial by trial, single or batch randomizations of trial order, and specification of initial values. The associative simulator is both a powerful scientific instrument and a user-friendly teaching aid.",10.3758/BF03203636,1996,0,0.0,0.0,0.0,ngr,0.0,1,0
132,ESTIMATING THE STRENGTH OF EXPERT JUDGMENT - THE CASE OF UNITED-STATES MORTALITY FORECASTS,"The use of expert judgement is an important part of demographic forecasting. However, because judgement enters into the forecasting process in an informal way, it has been very difficult to assess its role relative to the analysis of past data. The use of targets in demographic forecasts permits us to embed the subjective forecasting process into a simple time-series regression model, in which expert judgement is incorporated via mixed estimation. The strength of expert judgement is defined, and estimated using the official forecasts of cause-specific mortality in the United States. We show that the weight given to judgement varies in an improbable manner by age. Overall, the weight given to judgement appears too high. An alternative approach to combining expert judgement and past data is suggested.",10.1002/for.3980110206,1992,1,0.0,1.0,0.0,ngr,1.0,1,1
133,A human judgment approach to epidemiological forecasting,"Infectious diseases impose considerable burden on society, despite significant advances in technology and medicine over the past century. Advanced warning can be helpful in mitigating and preparing for an impending or ongoing epidemic. Historically, such a capability has lagged for many reasons, including in particular the uncertainty in the current state of the system and in the understanding of the processes that drive epidemic trajectories. Presently we have access to data, models, and computational resources that enable the development of epidemiological forecasting systems. Indeed, several recent challenges hosted by the U. S. government have fostered an open and collaborative environment for the development of these technologies. The primary focus of these challenges has been to develop statistical and computational methods for epidemiological forecasting, but here we consider a serious alternative based on collective human judgment. We created the web-based | Epicast forecasting system which collects and aggregates epidemic predictions made in real-time by human participants, and with these forecasts we ask two questions: how accurate is human judgment, and how do these forecasts compare to their more computational, data-driven alternatives? To address the former, we assess by a variety of metrics how accurately humans are able to predict influenza and chikungunya trajectories. As for the latter, we show that real-time, combined human predictions of the 2014-2015 and 2015-2016 U.S. flu seasons are often more accurate than the same predictions made by several statistical systems, especially for short-term targets. We conclude that there is valuable predictive power in collective human judgment, and we discuss the benefits and drawbacks of this approach.",10.1371/journal.pcbi.1005248,2017,0,0.0,0.0,1.0,nw,1.0,0,0
134,Suburban watershed nitrogen retention: Estimating the effectiveness of stormwater management structures,"Excess nitrogen (N) is a primary driver of freshwater and coastal eutrophication globally, and urban stormwater is a rapidly growing source of N pollution. Stormwater best management practices (BMPs) are used widely to remove excess N from runoff in urban and suburban areas, and are expected to perform under a wide variety of environmental conditions. Yet the capacity of BMPs to retain excess N varies; and both the variation and the drivers thereof are largely unknown, hindering the ability of water resource managers to meet water quality targets in a cost-effective way. Here, we use structured expert judgment (SEJ), a performance-weighted method of expert elicitation, to quantify the uncertainty in BMP performance under a range of site-specific environmental conditions and to estimate the extent to which key environmental factors influence variation in BMP performance. We hypothesized that rain event frequency and magnitude, BMP type and size, and physiographic province would significantly influence the experts' estimates of N retention by BMPs common to suburban Piedmont and Coastal Plain watersheds of the Chesapeake Bay region. Expert knowledge indicated wide uncertainty in BMP performance, with N removal efficiencies ranging from < 0% (BMP acting as a source of N during a rain event) to > 40%. Experts believed that the amount of rain was the primary identifiable source of variability in BMP efficiency, which is relevant given climate projections of more frequent heavy rain events in the mid-Atlantic. To assess the extent to which those projected changes might alter N export from suburban BMPs and watersheds, we combined downscaled estimates of rainfall with distributions of N loads for different-sized rain events derived from our elicitation. The model predicted higher and more variable N loads under a projected future climate regime, suggesting that current BMP regulations for reducing nutrients may be inadequate in the future.",10.12952/journal.elementa.000063,2015,0,0.0,0.0,0.0,gcg,0.0,1,0
135,Ensemble Predictions of Recovery Rates,"In many domains, the combined opinion of a committee of experts provides better decisions than the judgment of a single expert. This paper shows how to implement a successful ensemble strategy for predicting recovery rates on defaulted debts. Using data from Moody's Ultimate Recovery Database, it is shown that committees of models derived from the same regression method present better forecasts of recovery rates than a single model. More accurate predictions are observed whether we forecast bond or loan recoveries, and across the entire range of actual recovery values.",10.1007/s10693-013-0165-3,2014,1,0.0,1.0,0.0,ngr,1.0,1,1
136,Who's the Best? A Relativistic View of Expertise,"The dictionary and the expert performance approach view an expert as one who, after sufficient training and experience in a domain, can perform the requisite tasks above a threshold level. In contrast, we argue for a performance-based approach that implies expertise is a continuum; the experts are the best performers. Most tasks in which expertise can be demonstrated have an underlying core of judgment, including domains in which the tasks call for judgment to be overlain with performance, prediction, or instruction. To evaluate judgment, we employ the metaphor of the judge as a measuring instrument. Like an instrument, expert judgment according to the performance-based approach has three key properties: discrimination, consistency, and validity. Validity requires ground truth and is usually difficult to establish; but the other two properties are readily observable, and they are combined in the Cochran-Weiss-Shanteau index. Copyright (C) 2014 John Wiley & Sons, Ltd.",10.1002/acp.3015,2014,0,0.0,0.0,0.0,gcg,0.0,1,0
137,Model selection through robustness and fidelity criteria: Modeling the dynamics of the CX-100 wind turbine blade,"Several plausible modeling strategies are available to develop numerical models for simulating the dynamics of wind turbine blades. While the modeling strategy is typically selected according to expert judgment, the ""best"" modeling approach is unknown to the model developer. Thus, comparing plausible modeling strategies through a systematic and rigorous approach becomes necessary. This manuscript departs from the conventional approach that selects the model with the highest fidelity-to-data; and instead explores the trade-off between fidelity of model predictions to experiments and robustness of model predictions to model imprecision and inexactness. Exploring robustness in addition to fidelity lends credibility to the model, ensuring model predictions can be trusted even when lack-of-knowledge in the modeling assumptions and/or input parameters result in unforeseen. errors and uncertainties. This concept is demonstrated on the CX-100 wind turbine blade in an experimental configuration with large masses added to load the blade in bending during vibration testing. The finite element model of the blade is built with shell elements and validated against experimental evidence, while the large masses are modeled according to two different, but plausible strategies using (i) a combination of point-mass and spring elements, and (ii) solid elements. These two modeling strategies are evaluated considering both the fidelity of the natural frequency predictions against experiments, and the robustness of the predicted natural frequencies to uncertainties in the input parameters. By considering robustness during model selection, the authors determine the extent to which prediction accuracy deteriorates as the lack-of-knowledge increases. The findings suggest the model with solid elements offers a higher degree of fidelity-to-data and robustness to uncertainties, thus providing a superior modeling strategy than the model with point masses and stiffening springs. (C) 2013 Elsevier Ltd. All rights reserved.",10.1016/j.ymssp.2013.10.010,2014,0,0.0,0.0,0.0,nw,0.0,1,0
138,First tier modeling of consumer dermal exposure to substances in consumer articles under REACH: A quantitative evaluation of the ECETOC TRA for consumers tool,"The demonstration of safe use of chemicals in consumer products, as required under REACH, is proposed to follow a tiered process. In the first tier, simple conservative methods and assumptions should be made to quickly verify whether risks for a particular use are expected. The ECETOC TRA Consumer Exposure Tool was developed to assist in first tier risk assessments for substances in consumer products. The ECETOC TRA is not a prioritization tool, but is meant as a first screening. Therefore, the exposure assessment needs to cover all products/articles in a specific category. For the assessment of the dermal exposure for substances in articles, ECETOC TRA uses the concept of a 'contact layer', a hypothetical layer that limits the exposure to a substance contained in the product. For each product/article category, ECETOC TRA proposes default values for the thickness of this contact layer. As relevant experimental exposure data is currently lacking, default values are based on expert judgment alone. In this paper it is verified whether this concept meets the requirement of being a conservative exposure evaluation method. This is done by confronting the ECETOC TRA expert judgment based predictions with a mechanistic emission model, based on the well established theory of diffusion of substances in materials. Diffusion models have been applied and tested in many applications of emission modeling. Experimentally determined input data for a number of material and substance combinations are available. The estimated emissions provide information on the range of emissions that could occur in reality. First tier tools such as ECETOC TRA tool are required to cover all products/articles in a category and to provide estimates that are at least as high as is expected on the basis of current scientific knowledge. Since this was not the case, it is concluded that the ECETOC TRA does not provide a proper conservative estimation method for the dermal exposure to articles. An alternative method was proposed. (C) 2012 Elsevier Inc. All rights reserved.",10.1016/j.yrtph.2012.10.015,2013,0,0.0,0.0,0.0,gcg,0.0,1,0
139,Combining expert judgment: On the performance of trimmed mean vote aggregation procedures in the presence of strategic voting,"Analytic group decision techniques for selecting a subset of alternatives range between multicriteria decision analysis techniques such as multiattribute utility theory and the analytic hierarchy process to voting techniques where each member of the decision group submits a ranking of the alternatives, and these individual rankings are then aggregated into an overall ranking. The obvious advantage of voting is that it bypasses the rather intensive data generation requirements of multicriteria techniques. In this paper we compare the performance of trimmed mean rank-order aggregation procedures in the case where a subset of the individuals in the group charged with the decision vote strategically. We employ a Monte Carlo simulation experiment on a specific decision instance and find that trimmed mean aggregation compares favorably with other procedures. (C) 2002 Elsevier Science B.V. All rights reserved.",10.1016/S0377-2217(01)00226-0,2002,1,0.0,1.0,0.0,ngr,1.0,1,1
140,Predicting holistic ratings of written performance assessments from analytic scoring,"The use of experts to judge performance assessments is desirable because ratings of performances, carried out by experts in the content domain of the examination, are often considered to be the ""gold standard."" However, one drawback of using experts to rate performances is the high cost involved, A more economic alternative for scoring performance assessments entails using analytic scoring, which typically involves assigning points to individual traits present in the performance, and summing to arrive at a single score. This strategy is less costly, but may lack the richness of holistic scoring. This study investigates the use of regression-based techniques to predict expert judgments on a written performance task from a combination of analytic scores. Potentially, this will result in scores that approximate the richness of holistic ratings while maintaining the cost-effectiveness of analytic scoring. Results show that a substantial proportion of variance in expert judgments can be explained by the analytic scores, but that decisions based on actual expert judgments and the predicted expert judgments were not sufficiently consistent to warrant the substitution of one score for the other.",10.1023/A:1011478224834,2001,0,0.0,0.0,0.0,gcg,0.0,1,0
141,Aggregating and updating experts' knowledge: An experimental evaluation of five classification techniques,"Knowledge acquisition consists of eliciting expertise from one or more experts in order to construct a knowledge base. When knowledge is elicited from multiple experts, it is necessary to combine the multiple sources of expertise in order to arrive at a single knowledge base. In this paper; we present and compare five techniques for aggregating expertise. An experiment was conducted to extract expert judgments on new product entry timing. The elicited knowledge was aggregated using classical statistical methods (logit regression and discriminant analysis), the ID3 pattern classification method, the k-NN (Nearest Neighbor) technique, and neural networks. The neural net method was shown to outperform the other methods in robustness and predictive accuracy. In addition, the explanation capability of the neural net was investigated. The contributions of the input variables to the change in the output variable were interpreted by analyzing the connection strengths of the neural net when the net stabilized. We conclude by discussing the use of neural nets in knowledge aggregation and decision support.",10.1016/0957-4174(95)00049-6,1996,1,1.0,0.0,0.0,gcg,1.0,1,1
142,Simulating Moral Actions: An Investigation of Personal Force in Virtual Moral Dilemmas,"Advances in Virtual Reality (VR) technologies allow the investigation of simulated moral actions in visually immersive environments. Using a robotic manipulandum and an interactive sculpture, we now also incorporate realistic haptic feedback into virtual moral simulations. In two experiments, we found that participants responded with greater utilitarian actions in virtual and haptic environments when compared to traditional questionnaire assessments of moral judgments. In experiment one, when incorporating a robotic manipulandum, we found that the physical power of simulated utilitarian responses (calculated as the product of force and speed) was predicted by individual levels of psychopathy. In experiment two, which integrated an interactive and life-like sculpture of a human into a VR simulation, greater utilitarian actions continued to be observed. Together, these results support a disparity between simulated moral action and moral judgment. Overall this research combines state-of-the-art virtual reality, robotic movement simulations, and realistic human sculptures, to enhance moral paradigms that are often contextually impoverished. As such, this combination provides a better assessment of simulated moral action, and illustrates the embodied nature of morally-relevant actions.",10.1038/s41598-017-13909-9,2017,0,0.0,0.0,0.0,nw,0.0,1,0
143,Scoring and Testing Procedures Devoted to Probabilistic Seismic Hazard Assessment,"This review addresses long-term (tens of years) seismic ground-motion forecasting (seismic hazard assessment) in the presence of alternative computational models (the so-called epistemic uncertainty affecting hazard estimates). We review the different approaches that have been proposed to manage epistemic uncertainty in the context of probabilistic seismic hazard assessment (PSHA). Ex-ante procedures (based on the combination of expert judgments about inherent characteristics of the PSHA model) and ex-post approaches (based on empirical comparison of model outcomes and observations) should not be considered as mutually exclusive alternatives but can be combined in a coherent Bayesian view. Therefore, we propose a procedure that allows a better exploitation of available PSHA models to obtain comprehensive estimates, which account for both epistemic and aleatory uncertainty. We also discuss the respective roles of empirical ex-post scoring and testing of alternative models concurring in the development of comprehensive hazard maps. In order to show how the proposed procedure may work, we also present a tentative application to the Italian area. In particular, four PSHA models are evaluated ex-post against macroseismic effects actually observed in a large set of Italian municipalities during the time span 1957-2006. This analysis shows that, when the whole Italian area is considered, all the models provide estimates that do not agree with the observations. However, two of them provide results that are compatible with observations, when a subregion of Italy (Apulia Region) is considered. By focusing on this area, we computed a comprehensive hazard curve for a single locality in order to show the feasibility of the proposed procedure.",10.1007/s10712-015-9316-4,2015,0,0.0,0.0,0.0,gcg,0.0,1,0
144,PROBABILITY AGGREGATION IN TIME-SERIES: DYNAMIC HIERARCHICAL MODELING OF SPARSE EXPERT BELIEFS,"Most subjective probability aggregation procedures use a single probability judgment from each expert, even though it is common for experts studying real problems to update their probability estimates over time. This paper advances into unexplored areas of probability aggregation by considering a dynamic context in which experts can update their beliefs at random intervals. The updates occur very infrequently, resulting in a sparse data set that cannot be modeled by standard time-series procedures. In response to the lack of appropriate methodology, this paper presents a hierarchical model that takes into account the expert's level of self-reported expertise and produces aggregate probabilities that are sharp and well calibrated both in-and out-of-sample. The model is demonstrated on a real-world data set that includes over 2300 experts making multiple probability forecasts over two years on different subsets of 166 international political events.",10.1214/14-AOAS739,2014,1,0.0,0.0,1.0,nw,1.0,1,1
145,A Scorecard-Markov model for new product screening decisions,"Purpose - The paper aims to propose a novel strategic approach, named a Scorecard-Markov model, combining an evaluation scorecard and a hidden Markov model (HMM) for new product idea screening (NPIS) decisions. Design/methodology/approach - A scorecard is constructed to evaluate new product ideas on several criteria, including customer needs, marketing strength, competency, manufacturing compatibility, and distribution channels, involving a consideration of risk buy. A HMM is then developed accordingly to predict the overall performance of new ideas in terms of success probability. To implement the model, it is trained and tested by the historical dataset of a world-class, leading company in the power tools industry through a case study. Findings - The approach is proven to be encouraging and meaningful. The scorecard can serve as a guide for new product idea evaluation to convert experts' linguistic judgments to quantifiable and comparable data, whereas the HMM can determine the success probability of new product ideas to support NPIS decision making based on their computed evaluation performance. The optimal cut-off value for making either a go or kill decision on each idea can thus be determined. Concerning the case company, a go decision should be made when the probability lies in the interval [0.53, 1]. Practical implications - The model can prevent companies from undertaking risky and failed new product development projects. Further, it is believed that this study can assist decision makers in choosing winning new product ideas towards commercialization in an effective and certain manner, thus enhancing the new product success rate in the innovation industry. Originality/value - The approach incorporating the scorecard method and HMM is novel. Illustrated by the case study, the application of this approach to NPIS decisions is confirmed to be effective.",10.1108/02635571011069068,2010,0,0.0,0.0,0.0,ngr,0.0,1,0
146,Integrating relevance feedback in boosting for content-based image retrieval,"Many content-based image retrieval applications suffer from small sample set and high dimensionality problems. Relevance feedback is often used to alleviate those problems. In this paper, we propose a novel interactive boosting framework to integrate user feedback into boosting scheme and bridge the gap between high-level semantic concept and low-level image features. Our method achieves more performance improvement from the relevance feedback than AdaBoost does because human judgment is accumulated iteratively to facilitate learning process. It also has obvious advantage over the classic relevance feedback method in that the classifiers are trained to pay more attention to wrongfully predicted samples in user feedback through a reinforcement training process. An interactive boosting scheme called i.Boost is implemented and tested using Adaptive Discriminant Projection (ADP) as base classifiers, which not only combines but also enhances a set of ADP classifiers into a more powerful one. To evaluate its performance, several applications are designed on UCI benchmark data sets, Harvard, UMIST, ATT facial image data sets and COREL color image data sets. The proposed method is compared to normal AdaBoost, classic relevance feedback and the state-of-the-art projection-based classifiers. The experiment results show the superior performance of i.Boost and the interactive boosting framework.",0,2007,0,0.0,0.0,0.0,gcg,0.0,1,0
147,In defense of clinical judgment... and mechanical prediction,"Despite over 50 years of one-sided research favoring formal prediction rules over human judgment, the ""clinical-statistical controversy,"" as it has come to be known, remains something of a hot-button issue. Surveying the objections to the formal approach, it seems the strongest point of disagreement is that clinical expertise can be replaced by statistics. We review and expand upon an unfortunately obscured part of Meehl's book to try to reconcile the issue. Building on Meehl, we argue that the clinician provides information that cannot be captured in, or outperformed by, mere frequency tables. However, that information is still best harnessed by a mechanical prediction rule that makes the ultimate decision. Two original studies support our arguments. The first study shows that multivariate prediction models using no data other than clinical speculations can perform well against statistical regression models. Study 2, however, showed that holistic predictions were less accurate than predictions made by mechanically combining smaller judgments without input from the judge at the combination stage. While we agree that clinical expertise cannot be replaced or neglected, we see no ethical reason to resist using explicit, mechanical rules for socially important decisions. Copyright (c) 2006 John Wiley & Sons, Ltd.",10.1002/bdm.537,2006,0,0.0,0.0,0.0,ngr,0.0,1,0
148,Bayesian approaches in ecological analysis and modeling,"Bayesian analysis provides a normative framework for use of uncertain information in decision making and inference. From a practical perspective, Bayes Theorem has a logical appeal in that it characterizes a process of knowledge updating that is based on pooling precision-weighted information. For years however, Bayesian inference was largely ignored or even discredited in favor of frequentist inference; among the reasons were computational difficulties and the formal use of subjective probabilities in applications of Bayes Theorem. In recent years, new computational approaches (e.g., Markov chain Monte Carlo) have greatly reduced the first problem, while the general recognition of the role of expert judgment in science has at least lessened resistance with respect to the second problem. Beyond that, Bayesian approaches facilitate certain analyses and interpretations that are often important to scientists. For example, the growing recognition of the value of combining information or ""borrowing strength"" in ecological studies, as new information is acquired to augment existing knowledge, is one of several reasons why interest in Bayesian inference continues to increase. Many currently used analytic techniques, such as random coefficients regression, multilevel models, data assimilation, and the Kalman filter are focused on this theme; all of these techniques reflect the basic framework of Bayes Theorem for pooling information. Most ecologists initially are taught that probabilities represent long-run frequencies: A consequence of this perspective is that probabilities have no meaning in a single unique or nonreplicated analysis. Scientists often ignore this constraint and interpret probabilities to suit the particular analysis. Related confusion sometimes arises in classical hypothesis testing and in the interpretation of p values. Bayesian inference provides appealing options in these situations. Collectively, these developments and perspectives have resulted in an increase in the application of Bayesian approaches in ecological studies, a number of which are noted here. Specific examples dealing with combining information, hypothesis testing, and Bayesian networks are discussed in more detail. In sum, it seems reasonable to make the judgmental forecast that Bayesian approaches will continue to increase in use in ecology.",0,2003,0,0.0,0.0,0.0,gcg,0.0,1,0
